seqid,srpipi,lrpipi,Water,Carbon,ssH,ssE,disL,disS,srELEC,lrELEC,sr_hb,lr_hb,srCATPI,lrCATPI,larkSIM,larkFAR
A0A024R2Q3_HUMAN_0,0.34685819320580025,0.3735371999658324,7.141564960379137,22.035574958201746,0.8646137230027896,0.63851895756543,0.35894852537094707,0.5683412191172148,0.928189854866922,-0.044724539056814415,0.7629228452270621,0.7277525781096577,0.2440891880521666,0.06150610012620951,0.2735277750499198,0.6710807335267419
A0A024R2Q3_HUMAN_1,0.08960692871419054,0.18978683256184214,7.067763287240317,17.836091831286705,0.8074974284734656,0.2263120492709375,0.09861450692746536,0.3522264206860784,0.046192740423252075,-0.056370153144346694,0.5742092457420924,0.5579256707116257,0.0077404534407564006,0.01814121340604923,0.15155502392344497,0.6366569557998935
A0A024R2Q3_HUMAN_2,0.15746658919233003,0.2335851249273678,7.277781236381747,18.01867016049787,0.8095834492995639,0.5629007510296374,0.11038808527099653,0.529809275521405,0.37646407616517213,-0.0733575911336627,0.6821575838626992,0.6556165906550547,0.024403486212316045,0.02049637331011119,0.2081731297374492,0.6399105154992293
A0A024R2Q3_HUMAN_3,0.13588565903184868,0.1988406257444612,6.823194654020263,17.129311869803644,0.8709818118375714,0.4044750430292599,0.0805744888023369,0.3298841469452421,0.48243243243243245,-0.03929618768328446,0.5713114754098361,0.5518839712918661,0.014192835081900229,0.005960750381560131,0.19557984790874525,0.6677326743467674
A0A024R2Q3_HUMAN_4,0.20904207699194272,0.24550155118924508,6.871098915630785,19.407037457434733,0.5911858808958613,0.33880332037810085,0.1517468625843476,0.5437236975765491,0.2932965178708391,-0.13221638087751192,0.5726616600019506,0.67486572265625,0.02707667731629393,-0.0081291633736028,0.28091773922775604,0.44319450407900385
A0A024R2Q3_HUMAN_5,0.1092722257585402,0.20942075111394018,6.003194888178914,17.546450082131777,0.8459673865138828,0.1740511620130413,0.12883913705763578,0.49295051188494104,0.19456440977059533,-0.06466530804201286,0.4667228306655434,0.3500741451500349,0.011617995849392233,0.03787753299099995,0.20308437721578823,0.6701941616967849
A0A024R2Q3_HUMAN_6,0.1159957627118644,0.23490466101694915,3.0193931811072883,19.552332608170172,0.6578387953941541,0.48728751997675435,0.05098572399728076,0.1257647858599592,0.2197398783301867,-0.25109601994326486,0.06761430246189917,0.0758736971183323,-0.02395165987186954,-0.07352941176470588,0.11832606544761626,0.5126701419055893
A0A024R2Q3_HUMAN_7,0.2582697201017812,0.4534276519521525,7.022508451790198,20.970562518216262,0.723546959777364,0.5630438807628217,0.4515643592076713,0.5655584609637654,0.7027027027027027,-0.05819817212320914,0.9752846379629456,0.7572922559215584,0.1642652694901276,0.022366354884959378,0.29987983908886684,0.5394381067648649
RCCD1_HUMAN_0,0.1965674873686743,0.29856115107913667,7.559726962457338,17.03909329829172,0.6901825357671436,0.4181027985730794,0.19253302699597932,0.5439402642159679,0.4418491484184915,-0.07113958192852327,0.4815456884017448,0.6238828364537804,-0.014221073044602456,-0.07473452213985174,0.25370117454247476,0.5522905898180274
RCCD1_HUMAN_1,0.05891296085138731,0.1468738438771735,5.528391425298642,15.780232367861235,0.5982653262369406,0.23634930021683423,0.11596294399702062,0.43419536551017796,0.28452549575070823,-0.13636251328045856,0.5057680631451124,0.32857459871292255,0.009849126438944826,0.004077663812301998,0.19470991791251932,0.5090129837388125
